t[s];CAN3.VCU_APPS_RAW.apps_1000[]
0.000000;0
0.010000;0
0.020100;0
0.030000;0
0.040000;0
0.050000;0
0.060000;0
0.070000;0
0.080000;0
0.090000;0
0.100100;0
0.110000;0
0.120000;0
0.130000;0
0.140000;0
0.150000;0
0.160000;0
0.170100;0
0.180000;0
0.190100;0
0.200000;0
0.210000;0
0.220000;0
0.230000;0
0.240000;0
0.250000;0
0.260100;0
0.270100;0
0.280000;0
0.290100;0
0.300100;0
0.310000;0
0.320100;0
0.330000;0
0.340000;0
0.350000;0
0.360000;0
0.370000;0
0.380000;0
0.390000;0
0.400000;0
0.410000;0
0.420000;0
0.430100;0
0.440000;0
0.450100;0
0.460100;0
0.470000;0
0.480100;0
0.490100;0
0.500100;0
0.510000;0
0.520000;0
0.530000;0
0.540000;0
0.550100;0
0.560000;0
0.570100;0
0.580100;0
0.590000;0
0.600100;0
0.610000;0
0.620000;0
0.630100;0
0.640100;0
0.650000;0
0.660000;0
0.670000;0
0.680100;0
0.690000;0
0.700000;0
0.710000;0
0.720000;0
0.730100;0
0.740000;0
0.750000;0
0.760100;0
0.770100;0
0.780100;0
0.790000;0
0.800100;0
0.810000;0
0.820100;0
0.830000;0
0.840000;0
0.850000;0
0.860100;0
0.870000;0
0.880000;0
0.890100;0
0.900000;0
0.910000;0
0.920000;0
0.930100;0
0.940100;0
0.950000;0
0.960100;0
0.970000;0
0.980100;0
0.990100;0
1.000000;0
1.010000;0
1.020100;0
1.030000;0
1.040100;0
1.050000;0
1.060000;0
1.070100;0
1.080000;0
1.090100;0
1.100000;0
1.110100;0
1.120100;0
1.130100;0
1.140000;0
1.150000;0
1.160000;0
1.170000;0
1.180100;0
1.190100;0
1.200100;0
1.210100;0
1.220100;0
1.230100;0
1.240100;0
1.250000;0
1.260000;0
1.270100;0
1.280000;0
1.290100;0
1.300000;0
1.310000;0
1.320100;0
1.330000;0
1.340100;0
1.350000;0
1.360000;0
1.370100;0
1.380100;0
1.390100;0
1.400000;0
1.410100;0
1.420100;0
1.430100;0
1.440100;0
1.450100;0
1.460100;0
1.470000;0
1.480000;0
1.490100;0
1.500100;0
1.510100;0
1.520100;0
1.530100;0
1.540100;0
1.550100;0
1.560000;0
1.570100;0
1.580100;0
1.590100;0
1.600100;0
1.610000;0
1.620000;0
1.630100;0
1.640000;0
1.650000;0
1.660100;0
1.670100;0
1.680100;0
1.690000;0
1.700100;0
1.710100;0
1.720100;0
1.730100;0
1.740100;0
1.750000;0
1.760100;0
1.770100;0
1.780100;0
1.790100;0
1.800100;0
1.810000;0
1.820100;0
1.830100;0
1.840100;0
1.850100;0
1.860100;0
1.870100;0
1.880000;0
1.890100;0
1.900100;0
1.910100;0
1.920000;0
1.930000;0
1.940100;0
1.950100;0
1.960100;0
1.970000;0
1.980000;0
1.990100;0
2.000100;0
2.010100;0
2.020100;0
2.030100;0
2.040100;0
2.050100;0
2.060000;0
2.070000;0
2.080100;0
2.090100;0
2.100100;0
2.110100;0
2.120100;0
2.130100;0
2.140100;0
2.150100;0
2.160100;0
2.170000;0
2.180100;0
2.190100;0
2.200100;0
2.210000;0
2.220100;0
2.230100;0
2.240100;0
2.250100;0
2.260100;0
2.270100;0
2.280100;0
2.290100;0
2.300100;0
2.310100;0
2.320100;0
2.330100;0
2.340100;0
2.350100;0
2.360100;0
2.370100;0
2.380100;0
2.390100;0
2.400100;0
2.410100;0
2.420000;0
2.430000;0
2.440100;0
2.450000;0
2.460100;0
2.470000;0
2.480100;0
2.490100;0
2.500100;0
2.510100;0
2.520100;0
2.530100;0
2.540100;0
2.550100;0
2.560100;0
2.570100;0
2.580000;0
2.590100;0
2.600100;0
2.610100;0
2.620100;0
2.630100;0
2.640100;0
2.650100;0
2.660100;0
2.670100;0
2.680100;0
2.690100;0
2.700100;0
2.710100;0
2.720100;0
2.730100;0
2.740100;0
2.750100;0
2.760100;0
2.770100;0
2.780100;0
2.790100;0
2.800100;0
2.810100;0
2.820100;0
2.830100;0
2.840100;0
2.850100;0
2.860100;0
2.870100;0
2.880000;0
2.890000;0
2.900100;0
2.910100;0
2.920100;0
2.930100;0
2.940100;0
2.950100;0
2.960100;0
2.970000;0
2.980100;0
2.990100;0
3.000100;0
3.010100;0
3.020100;0
3.030100;0
3.040100;0
3.050100;0
3.060100;0
3.070100;0
3.080100;0
3.090000;0
3.100100;0
3.110100;0
3.120100;0
3.130000;0
3.140100;0
3.150100;0
3.160000;0
3.170100;0
3.180100;0
3.190100;0
3.200100;0
3.210100;0
3.220100;0
3.230100;0
3.240100;0
3.250100;0
3.260100;0
3.270100;0
3.280000;0
3.290100;0
3.300100;0
3.310100;0
3.320100;0
3.330100;0
3.340100;0
3.350100;0
3.360100;0
3.370100;0
3.380100;0
3.390100;0
3.400100;0
3.410100;0
3.420100;0
3.430000;0
3.440100;0
3.450100;0
3.460100;0
3.470100;0
3.480100;0
3.490000;0
3.500100;0
3.510100;0
3.520100;0
3.530100;0
3.540100;0
3.550100;0
3.560100;0
3.570100;0
3.580100;0
3.590100;0
3.600100;0
3.610100;0
3.620100;0
3.630100;0
3.640100;0
3.650100;0
3.660100;0
3.670100;0
3.680100;0
3.690100;0
3.700100;0
3.710100;0
3.720100;0
3.730100;0
3.740100;0
3.750100;0
3.760100;0
3.770100;0
3.780100;0
3.790100;0
3.800100;0
3.810100;0
3.820100;0
3.830100;0
3.840100;0
3.850100;0
3.860100;0
3.870100;0
3.880100;0
3.890100;0
3.900100;0
3.910100;0
3.920100;0
3.930100;0
3.940100;0
3.950100;0
3.960100;0
3.970100;0
3.980100;0
3.990100;0
4.000100;0
4.010100;0
4.020100;0
4.030100;0
4.040100;0
4.050100;0
4.060100;0
4.070100;0
4.080000;0
4.090100;0
4.100100;0
4.110100;0
4.120100;0
4.130100;0
4.140100;0
4.150100;0
4.160100;0
4.170000;0
4.180100;0
4.190100;0
4.200100;0
4.210100;0
4.220100;0
4.230100;0
4.240100;0
4.250100;0
4.260100;0
4.270100;0
4.280000;0
4.290100;0
4.300100;0
4.310100;0
4.320100;0
4.330100;0
4.340100;0
4.350100;0
4.360100;0
4.370100;0
4.380100;0
4.390100;0
4.400100;0
4.410100;0
4.420000;0
4.430100;0
4.440100;0
4.450100;0
4.460100;0
4.470100;0
4.480100;0
4.490100;0
4.500100;0
4.510100;0
4.520000;0
4.530100;0
4.540000;0
4.550100;0
4.560100;0
4.570100;0
4.580100;0
4.590100;0
4.600100;0
4.610100;0
4.620100;0
4.630100;0
4.640100;0
4.650100;0
4.660100;0
4.670100;0
4.680100;0
4.690100;0
4.700100;0
4.710100;0
4.720100;0
4.730100;0
4.740100;0
4.750100;0
4.760100;0
4.770100;0
4.780100;0
4.790100;0
4.800100;0
4.810100;0
4.820100;0
4.830100;0
4.840100;0
4.850100;0
4.860100;0
4.870100;0
4.880100;0
4.890100;0
4.900100;0
4.910100;0
4.920100;0
4.930100;0
4.940100;0
4.950100;0
4.960100;0
4.970100;0
4.980100;0
4.990000;0
5.000100;0
5.010100;0
5.020100;0
5.030100;0
5.040100;0
5.050100;0
5.060100;0
5.070100;0
5.080100;0
5.090100;0
5.100100;0
5.110100;0
5.120100;0
5.130100;0
5.140100;0
5.150100;0
5.160100;0
5.170100;0
5.180000;0
5.190100;0
5.200100;0
5.210100;0
5.220000;0
5.230100;0
5.240100;0
5.250100;0
5.260100;0
5.270100;0
5.280100;0
5.290100;0
5.300100;0
5.310100;0
5.320100;0
5.330100;0
5.340100;0
5.350100;0
5.360000;0
5.370100;0
5.380100;0
5.390100;0
5.400100;0
5.410100;0
5.420100;0
5.430100;0
5.440100;0
5.450100;0
5.460100;0
5.470100;0
5.480100;0
5.490100;0
5.500100;0
5.510000;0
5.520100;0
5.530100;0
5.540100;0
5.550100;0
5.560100;0
5.570100;0
5.580100;0
5.590100;0
5.600100;0
5.610100;0
5.620100;0
5.630100;0
5.640000;0
5.650100;0
5.660100;0
5.670000;0
5.680100;0
5.690000;0
5.700100;0
5.710100;0
5.720100;0
5.730100;0
5.740100;0
5.750100;0
5.760100;0
5.770100;0
5.780100;0
5.790100;0
5.800100;0
5.810100;0
5.820000;0
5.830100;0
5.840100;0
5.850100;0
5.860100;0
5.870100;0
5.880000;0
5.890100;0
5.900100;0
5.910100;0
5.920100;0
5.930100;0
5.940000;0
5.950100;0
5.960100;0
5.970100;0
5.980100;0
5.990100;0
6.000100;0
6.010100;0
6.020100;0
6.030100;0
6.040100;0
6.050100;0
6.060100;0
6.070100;0
6.080100;0
6.090100;0
6.100100;12
6.110100;37
6.120100;68
6.130100;99
6.140100;137
6.150100;173
6.160100;203
6.170100;237
6.180100;265
6.190100;291
6.200100;325
6.210000;345
6.220100;363
6.230100;363
6.240100;372
6.250100;358
6.260100;357
6.270100;364
6.280100;368
6.290000;375
6.300100;387
6.310100;400
6.320100;414
6.330100;433
6.340100;450
6.350100;467
6.360100;488
6.370100;502
6.380100;515
6.390000;525
6.400100;533
6.410100;535
6.420100;535
6.430100;534
6.440100;534
6.450100;535
6.460100;534
6.470100;534
6.480100;533
6.490100;533
6.500100;535
6.510100;539
6.520100;542
6.530100;549
6.540100;555
6.550100;560
6.560100;568
6.570100;573
6.580100;577
6.590100;577
6.600100;577
6.610100;580
6.620100;581
6.630100;577
6.640100;580
6.650100;581
6.660100;577
6.670100;580
6.680100;577
6.690100;581
6.700100;582
6.710100;584
6.720100;583
6.730100;580
6.740100;581
6.750100;581
6.760100;577
6.770100;575
6.780100;565
6.790100;577
6.800000;578
6.810000;580
6.820100;586
6.830100;595
6.840100;613
6.850100;607
6.860100;609
6.870100;610
6.880100;613
6.890000;609
6.900100;607
6.910100;605
6.920100;607
6.930100;607
6.940100;609
6.950100;608
6.960000;606
6.970100;599
6.980100;595
6.990100;586
7.000100;581
7.010100;573
7.020100;568
7.030100;567
7.040100;566
7.050100;569
7.060100;572
7.070000;576
7.080100;578
7.090100;578
7.100100;585
7.110100;588
7.120100;585
7.130100;588
7.140100;585
7.150100;578
7.160100;575
7.170100;572
7.180100;564
7.190000;558
7.200000;547
7.210100;541
7.220100;539
7.230100;531
7.240100;522
7.250100;513
7.260100;499
7.270100;489
7.280100;482
7.290100;479
7.300100;475
7.310100;480
7.320100;482
7.330100;490
7.340100;501
7.350100;513
7.360100;523
7.370100;532
7.380100;534
7.390100;531
7.400100;519
7.410100;511
7.420100;500
7.430100;484
7.440100;466
7.450100;448
7.460100;435
7.470100;423
7.480100;414
7.490100;413
7.500100;421
7.510100;413
7.520100;421
7.530000;427
7.540100;440
7.550100;458
7.560100;474
7.570100;484
7.580000;487
7.590100;485
7.600100;474
7.610100;465
7.620100;449
7.630100;435
7.640100;418
7.650100;395
7.660100;379
7.670100;365
7.680100;359
7.690100;359
7.700000;358
7.710100;361
7.720100;366
7.730100;376
7.740100;384
7.750100;399
7.760100;410
7.770100;420
7.780100;423
7.790100;424
7.800100;418
7.810000;412
7.820100;405
7.840100;376
7.850100;365
7.860100;361
7.870100;357
7.880100;361
7.890100;359
7.900100;362
7.910100;363
7.920100;364
7.930100;366
7.940100;365
7.950100;365
7.960100;366
7.970100;368
7.980100;368
7.990100;370
8.000100;372
8.010100;370
8.020100;371
8.030100;367
8.040100;364
8.050100;359
8.060100;355
8.070100;339
8.080100;321
8.090100;296
8.100100;271
8.110100;239
8.120100;207
8.130100;178
8.140100;148
8.150100;121
8.160100;97
8.170100;77
8.180100;62
8.190000;54
8.200100;49
8.210100;47
8.220100;46
8.230100;42
8.240100;38
8.250100;36
8.260100;29
8.270100;22
8.280100;13
8.290100;6
8.300100;3
8.310100;1
8.320100;0
8.330100;0
8.340100;0
8.350100;0
8.360100;0
8.370100;0
8.380100;0
8.390100;0
8.400100;0
8.410100;0
8.420000;0
8.430100;0
8.440100;0
8.450100;0
8.460100;0
8.470100;0
8.480100;0
8.490100;0
8.500100;0
8.510100;0
8.520100;0
8.530100;0
8.540100;0
8.550100;0
8.560100;0
8.570100;0
8.580100;0
8.590100;3
8.600100;3
8.610100;9
8.620100;7
8.630100;5
8.640100;0
8.650100;0
8.660100;0
8.670100;0
8.680100;0
8.690100;0
8.700100;2
8.710100;4
8.720100;6
8.730100;7
8.740100;11
8.750100;20
8.760100;17
8.770100;18
8.780100;23
8.790100;20
8.800100;23
8.810100;30
8.820100;32
8.830100;38
8.840100;49
8.850100;59
8.860100;74
8.870100;89
8.880100;108
8.890100;120
8.900100;130
8.910100;150
8.920100;148
8.930100;160
8.940100;168
8.950100;169
8.960100;170
8.970100;169
8.980100;170
8.990100;166
9.000000;166
9.010100;166
9.020100;170
9.030100;173
9.040100;172
9.050100;179
9.060100;187
9.070100;199
9.080100;210
9.090100;217
9.100100;220
9.110100;217
9.120100;214
9.130100;208
9.140100;210
9.150100;211
9.160100;211
9.170100;215
9.180100;217
9.190100;222
9.200100;222
9.210100;222
9.220100;220
9.230100;219
9.240100;215
9.250100;207
9.260100;206
9.270100;205
9.280100;206
9.290100;206
9.300100;203
9.310100;205
9.320100;205
9.330100;202
9.340000;199
9.350000;199
9.360100;191
9.370100;183
9.380100;168
9.390100;145
9.400000;121
9.410100;98
9.420100;81
9.430100;69
9.440100;64
9.450100;63
9.460100;64
9.470100;64
9.480100;65
9.490100;65
9.500100;64
9.510100;64
9.520100;66
9.530100;65
9.540100;66
9.550100;64
9.560100;69
9.570100;71
9.580100;69
9.590100;71
9.600100;78
9.610100;79
9.620100;84
9.630100;90
9.640100;96
9.650100;99
9.660100;121
9.670100;128
9.680100;148
9.690100;164
9.700100;188
9.710100;215
9.720100;234
9.730100;252
9.740100;257
9.750100;261
9.760100;262
9.770100;262
9.780100;261
9.790100;264
9.800100;267
9.810100;274
9.820100;276
9.830100;278
9.840100;278
9.850100;281
9.860100;283
9.870100;283
9.880100;279
9.890100;284
9.900100;287
9.910100;288
9.920100;287
9.930100;287
9.940100;288
9.950100;287
9.960100;291
9.970100;290
9.980100;290
9.990100;295
10.000100;294
10.010100;295
10.020100;300
10.030100;300
10.040100;305
10.050100;306
10.060100;309
10.070100;326
10.080100;321
10.090100;328
10.100100;330
10.110100;334
10.120100;341
10.130100;349
10.140100;358
10.150000;365
10.160100;368
10.170100;372
10.180100;376
10.190100;374
10.200100;373
10.210100;380
10.230100;373
10.240100;375
10.250100;379
10.260100;387
10.270100;392
10.280100;404
10.290100;410
10.300100;422
10.310100;425
10.320100;430
10.330100;425
10.340100;423
10.350100;421
10.360100;412
10.370100;414
10.380100;405
10.390100;388
10.400100;381
10.410100;361
10.420100;343
10.430100;324
10.440100;307
10.450100;292
10.460100;278
10.470100;267
10.480100;266
10.490100;267
10.500100;270
10.510100;273
10.520100;273
10.530100;286
10.540100;279
10.550100;286
10.560100;296
10.570100;309
10.580100;324
10.590100;342
10.600100;359
10.610100;371
10.620100;371
10.630100;368
10.640100;365
10.650100;366
10.660100;362
10.670100;363
10.680100;363
10.690100;367
10.700100;379
10.710100;399
10.720100;423
10.730100;441
10.740100;448
10.750100;450
10.760100;458
10.770100;474
10.780100;491
10.790100;506
10.800100;518
10.810100;529
10.820100;540
10.830100;543
10.840100;551
10.850100;553
10.860100;563
10.870100;568
10.880100;575
10.890100;583
10.900100;592
10.920100;599
10.930100;601
10.940100;600
10.950100;598
10.960100;601
10.970100;598
10.980100;600
10.990100;600
11.000100;597
11.010100;598
11.020100;601
11.030100;595
11.040100;601
11.050100;597
11.060100;590
11.070100;585
11.080100;582
11.090100;567
11.100100;556
11.110100;541
11.120100;517
11.130100;511
11.140100;500
11.150100;490
11.160100;490
11.170100;494
11.180100;498
11.190100;505
11.200100;508
11.210100;507
11.220100;507
11.230100;501
11.240100;496
11.250100;484
11.260100;469
11.270100;460
11.280100;442
11.290100;408
11.300100;400
11.310100;391
11.320100;399
11.330100;393
11.340100;413
11.350100;414
11.360100;418
11.370100;425
11.380100;423
11.390100;420
11.400100;420
11.410100;415
11.420100;416
11.430100;421
11.440100;435
11.450100;440
11.460100;459
11.470100;473
11.480100;489
11.490100;501
11.500100;511
11.510100;521
11.520100;529
11.530100;538
11.540100;548
11.550100;561
11.560100;581
11.570100;609
11.580100;645
11.590100;669
11.600100;684
11.610100;712
11.620100;741
11.630100;759
11.640100;774
11.650100;786
11.660100;791
11.670100;794
11.680100;792
11.690100;788
11.700100;783
11.710100;770
11.720100;764
11.730100;754
11.740100;745
11.750100;742
11.760100;741
11.770100;744
11.780100;751
11.790100;761
11.800100;769
11.810100;776
11.820100;781
11.830100;778
11.840100;779
11.850100;784
11.860100;771
11.870100;765
11.880100;757
11.890100;748
11.900100;732
11.910100;725
11.920100;718
11.930100;722
11.940100;723
11.950100;729
11.960100;723
11.970100;724
11.980100;722
11.990100;728
12.000100;726
12.010100;728
12.020100;728
12.030100;728
12.040100;729
12.050100;732
12.060100;734
12.070100;733
12.080100;728
12.090100;720
12.100100;710
12.110100;690
12.120100;677
12.130100;666
12.140100;661
12.150100;662
12.160100;667
12.170100;675
12.180100;684
12.190100;690
12.200100;694
12.210100;693
12.220100;691
12.230100;691
12.240100;687
12.250100;686
12.260100;686
12.270100;691
12.280100;680
12.290100;672
12.300100;670
12.310100;664
12.320100;660
12.330100;656
12.340100;658
12.350100;647
12.360100;667
12.370100;667
12.380100;673
12.390100;670
12.400100;670
12.410100;665
12.420100;657
12.430100;655
12.440100;650
12.450100;645
12.460100;644
12.470100;642
12.480100;641
12.490100;631
12.500100;644
12.510100;637
12.520100;634
12.530100;633
12.540100;627
12.550100;626
12.560100;627
12.570100;636
12.580100;637
12.590100;642
12.600100;650
12.610100;653
12.620100;649
12.630100;643
12.640100;652
12.650100;644
12.660100;648
12.670100;647
12.680100;644
12.690100;636
12.700100;630
12.710100;622
12.720100;636
12.730100;620
12.740100;618
12.750100;617
12.760100;620
12.770100;623
12.780100;618
12.790100;616
12.800100;611
12.810100;607
12.820100;598
12.830100;580
12.840100;559
12.850100;530
12.860100;481
12.870100;413
12.880100;331
12.890100;236
12.900100;137
12.910100;43
12.920100;0
12.930100;0
12.940100;0
12.950100;0
12.960100;0
12.970100;0
12.980100;0
12.990100;0
13.000100;0
13.010100;0
13.020100;0
13.030100;0
13.040100;0
13.050100;0
13.060100;0
13.070100;0
13.080100;0
13.090100;0
13.100100;0
13.110100;0
13.120100;0
13.130100;0
13.140100;0
13.150100;0
13.160100;0
13.170100;0
13.180100;0
