t[s];CAN3.VCU_APPS_RAW.apps_1000[]
520.002900;0
520.012900;0
520.022900;0
520.032900;0
520.042900;0
520.052900;0
520.062900;0
520.072900;0
520.082900;0
520.092900;0
520.102900;0
520.112900;0
520.122900;0
520.132900;0
520.142900;0
520.152900;0
520.162900;0
520.172900;0
520.182900;0
520.192900;0
520.202900;0
520.212900;0
520.222900;0
520.232900;0
520.242900;0
520.252900;0
520.262900;0
520.272900;0
520.282900;0
520.292900;0
520.302900;0
520.312900;0
520.322900;0
520.332900;0
520.342900;0
520.352900;0
520.362900;0
520.372900;0
520.382900;0
520.392900;0
520.402900;0
520.412900;0
520.422900;0
520.432900;0
520.442900;0
520.452900;0
520.462900;0
520.472900;0
520.482900;0
520.492900;0
520.502900;0
520.512900;0
520.522900;0
520.532900;0
520.542900;0
520.552900;0
520.562900;0
520.572900;0
520.582900;0
520.592900;0
520.602900;0
520.612900;0
520.622900;0
520.632900;0
520.642900;0
520.652900;0
520.662900;0
520.672900;0
520.682900;0
520.692900;0
520.702900;0
520.712900;0
520.722900;0
520.732900;0
520.742900;0
520.752900;0
520.762900;0
520.772900;0
520.782900;0
520.792900;0
520.802900;0
520.812900;0
520.822900;0
520.832900;0
520.842900;0
520.852900;0
520.862900;0
520.872900;0
520.882900;0
520.892900;0
520.902900;0
520.912900;0
520.922900;0
520.932900;0
520.942900;0
520.952900;0
520.962900;0
520.972900;0
520.982900;0
520.992900;0
521.002900;0
521.012900;0
521.022900;0
521.032900;0
521.042900;0
521.052900;0
521.062900;0
521.072900;0
521.082900;0
521.092900;0
521.102900;0
521.112900;0
521.122900;0
521.132900;0
521.142900;0
521.152900;0
521.162900;0
521.172900;0
521.182900;0
521.192900;0
521.202900;0
521.212900;0
521.222900;0
521.232900;0
521.242900;0
521.252900;0
521.262900;0
521.272900;0
521.282900;0
521.292900;0
521.302900;0
521.312900;0
521.322900;0
521.332900;0
521.342900;0
521.352900;0
521.362900;0
521.372900;0
521.382900;0
521.392900;0
521.402900;0
521.412900;0
521.422900;0
521.432900;0
521.442900;0
521.452900;0
521.462900;0
521.472900;0
521.482900;0
521.492900;0
521.502900;0
521.512900;0
521.522900;0
521.532900;0
521.542900;0
521.552900;0
521.562900;0
521.572900;0
521.582900;0
521.592900;0
521.602900;0
521.612900;0
521.622900;0
521.632900;0
521.642900;0
521.652900;0
521.662900;0
521.672900;0
521.682900;0
521.692900;0
521.702900;0
521.712900;0
521.722900;0
521.732900;0
521.742900;0
521.752900;0
521.762900;0
521.772900;0
521.782900;0
521.792900;0
521.802900;0
521.812900;0
521.822900;0
521.832900;0
521.842900;0
521.852900;0
521.862900;0
521.872900;0
521.882900;0
521.892900;0
521.902900;0
521.912900;0
521.922900;0
521.932900;0
521.942900;0
521.952900;0
521.962900;0
